name,datetime,block_ix,trial_ix,sound_x,sound_y,reversed,category,similarity,notes,repeat
zoe,2016-11-01 17:21:26.938000,1,6,371,508,0,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,1,9,55,203,0,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,1,13,60,191,0,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,1,18,462,499,1,zipper,2,None,0
zoe,2016-11-01 17:21:26.938000,1,19,325,380,1,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,1,20,236,325,1,zipper,2,None,0
zoe,2016-11-01 17:21:26.938000,1,22,218,342,1,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,1,28,313,391,1,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,1,29,288,360,1,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,1,30,158,244,0,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,1,32,374,430,1,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,1,33,247,330,0,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,1,34,488,565,0,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,1,37,89,154,1,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,1,38,241,322,1,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,1,39,182,275,0,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,1,40,139,146,1,zipper,2,None,0
zoe,2016-11-01 17:21:26.938000,1,41,330,409,1,zipper,2,None,0
zoe,2016-11-01 17:21:26.938000,1,47,105,150,1,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,2,71,187,227,0,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,2,72,290,387,1,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,2,73,387,488,0,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,2,75,244,350,0,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,2,76,391,435,0,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,2,77,117,198,0,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,2,78,132,202,1,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,2,90,338,377,0,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,2,92,539,540,1,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,2,103,198,223,0,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,2,108,141,177,0,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,2,109,174,257,1,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,2,110,113,174,0,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,2,111,443,461,1,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,2,112,342,443,1,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,2,113,150,262,0,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,2,115,392,453,0,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,2,116,322,392,1,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,2,124,207,247,1,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,2,125,65,207,1,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,2,128,94,162,0,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,2,132,275,345,1,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,2,133,477,521,1,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,2,134,352,418,0,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,2,135,276,352,1,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,2,136,213,318,0,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,2,138,162,255,1,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,2,144,505,532,1,zipper,2,None,0
zoe,2016-11-01 17:21:26.938000,2,147,360,505,0,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,3,153,357,456,0,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,3,159,456,512,1,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,3,170,306,422,0,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,3,189,70,166,0,zipper,2,None,0
zoe,2016-11-01 17:21:26.938000,3,195,212,313,1,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,3,196,257,294,1,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,3,197,90,193,0,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,3,199,146,218,1,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,3,200,435,557,0,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,3,204,283,415,1,zipper,2,None,0
zoe,2016-11-01 17:21:26.938000,3,205,484,528,0,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,3,206,154,241,1,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,3,207,345,440,0,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,3,208,409,484,1,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,3,209,440,494,0,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,3,210,294,366,0,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,3,211,366,468,0,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,3,212,418,477,0,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,3,213,177,236,1,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,3,220,380,473,1,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,3,224,202,212,1,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,4,227,332,412,1,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,4,228,262,332,1,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,4,238,265,290,0,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,4,239,350,374,1,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,4,249,193,265,0,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,4,251,255,288,1,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,4,253,118,158,0,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,4,258,430,561,0,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,4,264,237,299,0,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,4,267,299,357,1,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,4,272,203,213,0,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,4,274,182,276,0,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,4,279,318,371,0,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,4,281,508,517,0,zipper,2,None,0
zoe,2016-11-01 17:21:26.938000,4,285,103,182,0,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,4,290,113,539,0,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,4,295,53,187,1,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,4,299,191,237,0,zipper,6,None,0
zoe,2016-11-01 17:21:26.938000,4,300,227,283,0,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,4,301,273,306,1,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,4,303,422,462,0,zipper,5,None,0
zoe,2016-11-01 17:21:26.938000,4,305,494,525,0,zipper,4,None,0
zoe,2016-11-01 17:21:26.938000,4,306,223,338,1,zipper,3,None,0
zoe,2016-11-01 17:21:26.938000,4,311,166,273,1,zipper,2,None,0
zoe,2017-03-01 13:35:08.016000,1,2,287,298,1,tear,5,None,0
zoe,2017-03-01 13:35:08.016000,1,3,298,436,0,tear,6,None,0
zoe,2017-03-01 13:35:08.016000,1,9,320,408,0,tear,5,None,0
zoe,2017-03-01 13:35:08.016000,1,14,271,296,1,tear,5,None,0
zoe,2017-03-01 13:35:08.016000,1,17,407,447,0,tear,4,None,0
zoe,2017-03-01 13:35:08.016000,1,19,155,254,0,tear,3,None,0
zoe,2017-03-01 13:35:08.016000,1,21,354,367,1,tear,4,None,0
zoe,2017-03-01 13:35:08.016000,1,23,503,522,0,tear,3,None,0
zoe,2017-03-01 13:35:08.016000,1,30,268,335,0,tear,3,None,0
zoe,2017-03-01 13:35:08.016000,1,34,417,454,0,tear,4,None,0
