sound_x,sound_y
../data/sounds/411.wav,../data/sounds/491.wav
../data/sounds/491.wav,../data/sounds/549.wav
../data/sounds/549.wav,../data/sounds/556.wav
../data/sounds/132.wav,../data/sounds/202.wav
../data/sounds/202.wav,../data/sounds/212.wav
../data/sounds/212.wav,../data/sounds/313.wav
../data/sounds/313.wav,../data/sounds/391.wav
../data/sounds/391.wav,../data/sounds/435.wav
../data/sounds/435.wav,../data/sounds/557.wav
../data/sounds/118.wav,../data/sounds/158.wav
../data/sounds/158.wav,../data/sounds/244.wav
../data/sounds/244.wav,../data/sounds/350.wav
../data/sounds/350.wav,../data/sounds/374.wav
../data/sounds/374.wav,../data/sounds/430.wav
../data/sounds/430.wav,../data/sounds/561.wav
../data/sounds/63.wav,../data/sounds/251.wav
../data/sounds/90.wav,../data/sounds/193.wav
../data/sounds/193.wav,../data/sounds/265.wav
../data/sounds/265.wav,../data/sounds/290.wav
../data/sounds/290.wav,../data/sounds/387.wav
../data/sounds/387.wav,../data/sounds/488.wav
../data/sounds/488.wav,../data/sounds/565.wav
../data/sounds/101.wav,../data/sounds/284.wav
../data/sounds/284.wav,../data/sounds/321.wav
../data/sounds/321.wav,../data/sounds/427.wav
../data/sounds/427.wav,../data/sounds/471.wav
../data/sounds/471.wav,../data/sounds/533.wav
../data/sounds/533.wav,../data/sounds/566.wav
../data/sounds/140.wav,../data/sounds/225.wav
../data/sounds/225.wav,../data/sounds/269.wav
../data/sounds/269.wav,../data/sounds/319.wav
../data/sounds/319.wav,../data/sounds/385.wav
../data/sounds/53.wav,../data/sounds/187.wav
../data/sounds/187.wav,../data/sounds/227.wav
../data/sounds/227.wav,../data/sounds/283.wav
../data/sounds/283.wav,../data/sounds/415.wav
../data/sounds/117.wav,../data/sounds/198.wav
../data/sounds/198.wav,../data/sounds/223.wav
../data/sounds/223.wav,../data/sounds/338.wav
../data/sounds/338.wav,../data/sounds/377.wav
../data/sounds/89.wav,../data/sounds/154.wav
../data/sounds/154.wav,../data/sounds/241.wav
../data/sounds/241.wav,../data/sounds/322.wav
../data/sounds/322.wav,../data/sounds/392.wav
../data/sounds/392.wav,../data/sounds/453.wav
../data/sounds/139.wav,../data/sounds/146.wav
../data/sounds/146.wav,../data/sounds/218.wav
../data/sounds/218.wav,../data/sounds/342.wav
../data/sounds/342.wav,../data/sounds/443.wav
../data/sounds/443.wav,../data/sounds/461.wav
../data/sounds/113.wav,../data/sounds/174.wav
../data/sounds/174.wav,../data/sounds/257.wav
../data/sounds/257.wav,../data/sounds/294.wav
../data/sounds/294.wav,../data/sounds/366.wav
../data/sounds/366.wav,../data/sounds/468.wav
../data/sounds/141.wav,../data/sounds/177.wav
../data/sounds/177.wav,../data/sounds/236.wav
../data/sounds/236.wav,../data/sounds/325.wav
../data/sounds/325.wav,../data/sounds/380.wav
../data/sounds/380.wav,../data/sounds/473.wav
../data/sounds/100.wav,../data/sounds/155.wav
../data/sounds/155.wav,../data/sounds/254.wav
../data/sounds/254.wav,../data/sounds/354.wav
../data/sounds/354.wav,../data/sounds/367.wav
../data/sounds/55.wav,../data/sounds/203.wav
../data/sounds/203.wav,../data/sounds/213.wav
../data/sounds/213.wav,../data/sounds/318.wav
../data/sounds/318.wav,../data/sounds/371.wav
../data/sounds/94.wav,../data/sounds/162.wav
../data/sounds/162.wav,../data/sounds/255.wav
../data/sounds/255.wav,../data/sounds/288.wav
../data/sounds/288.wav,../data/sounds/360.wav
../data/sounds/56.wav,../data/sounds/235.wav
../data/sounds/235.wav,../data/sounds/379.wav
../data/sounds/379.wav,../data/sounds/406.wav
../data/sounds/406.wav,../data/sounds/496.wav
../data/sounds/496.wav,../data/sounds/502.wav
../data/sounds/214.wav,../data/sounds/246.wav
../data/sounds/246.wav,../data/sounds/340.wav
../data/sounds/340.wav,../data/sounds/363.wav
../data/sounds/363.wav,../data/sounds/501.wav
../data/sounds/501.wav,../data/sounds/506.wav
../data/sounds/277.wav,../data/sounds/314.wav
../data/sounds/314.wav,../data/sounds/336.wav
../data/sounds/336.wav,../data/sounds/445.wav
../data/sounds/50.wav,../data/sounds/165.wav
../data/sounds/165.wav,../data/sounds/327.wav
../data/sounds/327.wav,../data/sounds/441.wav
../data/sounds/441.wav,../data/sounds/465.wav
../data/sounds/465.wav,../data/sounds/511.wav
../data/sounds/215.wav,../data/sounds/226.wav
../data/sounds/226.wav,../data/sounds/355.wav
../data/sounds/355.wav,../data/sounds/399.wav
../data/sounds/399.wav,../data/sounds/498.wav
../data/sounds/498.wav,../data/sounds/513.wav
../data/sounds/153.wav,../data/sounds/161.wav
../data/sounds/161.wav,../data/sounds/300.wav
../data/sounds/300.wav,../data/sounds/386.wav
../data/sounds/386.wav,../data/sounds/492.wav
../data/sounds/492.wav,../data/sounds/515.wav
../data/sounds/137.wav,../data/sounds/231.wav
../data/sounds/231.wav,../data/sounds/315.wav
../data/sounds/315.wav,../data/sounds/364.wav
../data/sounds/87.wav,../data/sounds/266.wav
../data/sounds/266.wav,../data/sounds/388.wav
../data/sounds/388.wav,../data/sounds/396.wav
../data/sounds/396.wav,../data/sounds/464.wav
../data/sounds/464.wav,../data/sounds/520.wav
../data/sounds/159.wav,../data/sounds/178.wav
../data/sounds/178.wav,../data/sounds/365.wav
../data/sounds/365.wav,../data/sounds/429.wav
../data/sounds/429.wav,../data/sounds/483.wav
../data/sounds/483.wav,../data/sounds/524.wav
../data/sounds/52.wav,../data/sounds/183.wav
../data/sounds/183.wav,../data/sounds/337.wav
../data/sounds/337.wav,../data/sounds/410.wav
