message_id,category,seed_id,branch_id_list,generation,audio
118,zipper,49,[24],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/118.wav
123,glass,34,[118],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/123.wav
124,zipper,49,[87],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/124.wav
125,water,43,[119],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/125.wav
126,tear,40,[120],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/126.wav
132,zipper,49,[23],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/132.wav
133,water,45,[92],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/133.wav
134,glass,36,[94],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/134.wav
135,tear,39,[2],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/135.wav
136,glass,34,[54],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/136.wav
137,water,42,"[45, 75]",1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/137.wav
138,tear,39,[18],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/138.wav
139,zipper,47,"[32, 62]",1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/139.wav
140,tear,40,"[7, 28]",1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/140.wav
141,zipper,48,[34],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/141.wav
142,water,44,[121],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/142.wav
143,glass,35,[44],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/143.wav
144,glass,37,[91],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/144.wav
145,tear,40,[3],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/145.wav
146,zipper,47,"[32, 62]",2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/146.wav
147,water,43,[89],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/147.wav
148,glass,37,[93],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/148.wav
149,tear,40,[88],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/149.wav
150,zipper,48,[63],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/150.wav
151,water,43,[95],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/151.wav
152,glass,37,[122],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/152.wav
153,water,44,[43],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/153.wav
154,zipper,46,[31],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/154.wav
155,tear,41,"[13, 35]",2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/155.wav
156,tear,40,[88],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/156.wav
157,water,43,[89],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/157.wav
158,zipper,49,[24],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/158.wav
159,glass,34,[48],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/159.wav
160,glass,34,[123],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/160.wav
161,water,44,[43],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/161.wav
162,zipper,49,"[17, 37]",2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/162.wav
163,tear,41,[9],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/163.wav
164,glass,36,[90],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/164.wav
165,water,43,"[41, 78]",2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/165.wav
166,zipper,48,[6],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/166.wav
167,tear,38,"[5, 60]",2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/167.wav
172,glass,35,[56],1,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/172.wav
173,water,42,"[50, 69]",2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/173.wav
174,zipper,47,[33],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/174.wav
175,tear,41,[15],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/175.wav
176,tear,40,[21],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/176.wav
177,zipper,48,[34],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/177.wav
178,glass,34,[48],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/178.wav
179,water,43,[70],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/179.wav
180,glass,36,[90],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/180.wav
181,tear,38,[0],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/181.wav
182,zipper,48,"[12, 14, 61, 76]",2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/182.wav
183,water,45,"[49, 67]",2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/183.wav
184,water,44,[51],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/184.wav
185,tear,39,[19],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/185.wav
186,glass,37,[91],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/186.wav
187,zipper,47,[29],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/187.wav
188,glass,35,[44],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/188.wav
189,tear,41,[20],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/189.wav
190,water,45,[92],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/190.wav
191,zipper,46,[8],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/191.wav
192,glass,37,[93],2,/Users/pierce/Research/Telephone/acoustic-similarity/data/sounds/192.wav
