,sound_x,sound_y,similarity
0,56,146,0.017453992956181597
1,56,150,0.017647218495338957
2,56,154,0.013005443919987841
3,56,155,0.012570505452856713
4,56,158,0.013116784492888564
5,56,161,0.011991337948729905
6,56,162,0.015297964022857363
7,56,163,0.012268558516204862
8,56,165,0.0177948140158066
9,56,166,0.015316242989650675
10,56,167,0.015951719623563964
11,56,173,0.015315006959395226
12,56,174,0.01420286447916592
13,56,175,0.012575427989041649
14,56,176,0.015564425299370662
15,56,177,0.014621183599574863
16,56,179,0.015604867687530641
17,56,181,0.0121337315340001
18,56,182,0.015379251265663113
19,56,183,0.014576711113243228
20,56,184,0.015729215543111196
21,56,185,0.01603283772070755
22,56,187,0.015718379050637468
23,56,189,0.01534739604543226
24,56,191,0.015378962118273446
25,56,193,0.015472018245840609
26,56,196,0.014414399462575075
27,56,197,0.016663962754020118
28,56,198,0.015242192022236797
29,56,200,0.015822834572130153
30,56,202,0.014131993240785557
31,56,203,0.0180003544776806
32,56,206,0.01642603109511731
33,56,207,0.01806578337291592
34,56,211,0.01741036664121915
35,56,216,0.016231529951126727
36,56,217,0.015206552692908422
37,56,222,0.015017941232695653
38,56,225,0.01465788998104944
39,56,228,0.012493429293936915
40,56,231,0.01402161861156793
41,56,234,0.016439051752154963
42,56,246,0.018224297671078613
43,56,249,0.005411908436644716
44,56,253,0.01913082987374865
45,56,258,0.01359066900390034
46,56,264,0.013945661323767495
47,56,267,0.011825781247573176
48,56,536,0.016105646254562622
49,56,539,0.01482063007973062
50,61,146,0.01431512546212565
51,61,150,0.012925553751447659
52,61,154,0.014870768480761853
53,61,155,0.01542822858073439
54,61,158,0.014202387766283115
55,61,161,0.01011216483332533
56,61,162,0.012226455839094666
57,61,163,0.009934686785971134
58,61,165,0.014066062051995518
59,61,166,0.010808872999720562
60,61,167,0.01259366849349463
61,61,173,0.013914025714750543
62,61,174,0.012372967925524146
63,61,175,0.011376790519775231
64,61,176,0.018536950379131285
65,61,177,0.011455314085621079
66,61,179,0.013665742311119772
67,61,181,0.009540214587518298
68,61,182,0.011816811744351188
69,61,183,0.010994758087883336
70,61,184,0.013227985189386178
71,61,185,0.012812053853098445
72,61,187,0.011673561724596446
73,61,189,0.01172787766117043
74,61,191,0.012459845516890177
75,61,193,0.014085628809467015
76,61,196,0.01036066508492153
77,61,197,0.012922723559272884
78,61,198,0.01146891177678227
79,61,200,0.012761822530674092
80,61,202,0.012079017296720285
81,61,203,0.017671431308644674
82,61,206,0.013418305906880328
83,61,207,0.013174673867898288
84,61,211,0.013830161364056305
85,61,216,0.013582918930974505
86,61,217,0.015139580914181416
87,61,222,0.012786813443815772
88,61,225,0.012942228487626276
89,61,228,0.010903939395011277
90,61,231,0.011872056159644892
91,61,234,0.012025345582764404
92,61,246,0.01356621032240696
93,61,249,0.0094197626730777
94,61,253,0.01668615254142282
95,61,258,0.010945906958729646
96,61,264,0.011508109573338102
97,61,267,0.013817450069521628
98,61,536,0.012996879059846684
99,61,539,0.011559323228075295
100,63,146,0.02248169932911346
101,63,150,0.024788174825571368
102,63,154,0.014077450356043053
103,63,155,0.01283599711502352
104,63,158,0.014100491967093813
105,63,161,0.015153495326648954
106,63,162,0.01797714391584735
107,63,163,0.015935681396765378
108,63,165,0.014667356651577772
109,63,166,0.014100348481471563
110,63,167,0.013134642611764832
111,63,173,0.017148540229106123
112,63,174,0.016224519988685057
113,63,175,0.01367287746393556
114,63,176,0.018113918414133075
115,63,177,0.01862631260633276
116,63,179,0.01755899745789715
117,63,181,0.012563608962075763
118,63,182,0.01758307643535756
119,63,183,0.016299136004526718
120,63,184,0.02443627406397406
121,63,185,0.02044832050458089
122,63,187,0.023690164562668453
123,63,189,0.019468921666499217
124,63,191,0.02072693073107032
125,63,193,0.022892503270351458
126,63,196,0.015756918663041197
127,63,197,0.020169802447860437
128,63,198,0.016445217272897952
129,63,200,0.0172854039396945
130,63,202,0.01633308005541411
