branch_id,sound_x,sound_y,similarity
0,62,181,0.015380370507112613
0,181,250,0.013736055298227778
0,250,308,0.019074906208726844
0,308,394,0.009808235601792895
0,394,458,0.010619040219193056
0,458,507,0.025950023986489962
0,507,552,0.0217905203563801
1,204,206,0.012691735959959835
1,206,280,0.017000653503006224
1,280,316,0.018225715411378948
1,316,376,0.012153248984641058
1,376,424,0.012321277674487785
1,424,535,0.012793959658024986
1,535,559,0.012573348333676964
2,135,222,0.015146443221454618
2,222,292,0.020874798108332128
2,292,304,0.017722376395073354
2,304,370,0.017016082500736614
2,370,472,0.014549531375885053
2,472,510,0.011053681594618045
2,510,560,0.01116183705526386
3,145,196,0.01769529861649876
3,196,243,0.013301495634117195
3,243,328,0.015169670211769582
3,328,373,0.01477054555918668
3,373,450,0.010512819913297264
3,450,530,0.010382835670371104
3,530,567,0.014557967389874894
4,51,216,0.01700526250569715
4,216,248,0.012824925344021664
4,248,339,0.013653608868923334
4,339,398,0.01108789212548196
4,398,467,0.011501795685848944
4,467,490,0.017085650899864413
5,54,167,0.012988561084170491
60,54,167,0.012988561084170491
5,167,287,0.010364585036813874
60,167,287,0.010364585036813874
5,287,298,0.013488893374862962
60,287,298,0.013488893374862962
5,298,436,0.011030200536524547
5,436,481,0.014758049610057842
5,481,495,0.01258968668174894
6,70,166,0.0050499507997920755
6,166,273,0.010673540124538366
6,273,306,0.017037966555297417
6,306,422,0.014949337805440407
6,422,462,0.01316392471910107
6,462,499,0.009866716208606975
7,140,225,0.01089882105876991
28,140,225,0.01089882105876991
7,225,269,0.014141891614670964
28,225,269,0.014141891614670964
7,269,320,0.016647501467676608
7,320,408,0.013178382274829358
7,408,482,0.016546379416296057
7,482,500,0.009361801012078313
8,60,191,0.009053911563808635
8,191,237,0.01511832994000437
8,237,299,0.015954246214514214
8,299,357,0.01143870283728736
8,357,456,0.014218642636780814
8,456,512,0.011348835550683247
9,91,163,0.00978641366993437
10,55,203,0.014421413474164197
36,55,203,0.014421413474164197
10,203,213,0.014913247558402083
36,203,213,0.014913247558402083
10,213,318,0.01611861440360534
36,213,318,0.01611861440360534
10,318,371,0.01666523659820449
36,318,371,0.01666523659820449
10,371,508,0.016215801938656745
10,508,517,0.017011046842241678
11,71,197,0.009436428867207062
11,197,271,0.017191198086749418
11,271,296,0.018284414426453018
11,296,407,0.01734383973851971
11,407,447,0.011724050967020712
11,447,519,0.0139271777224165
12,103,182,0.012001861519650622
14,103,182,0.012001861519650622
61,103,182,0.012001861519650622
76,103,182,0.012001861519650622
12,182,276,0.018505309268254423
12,276,352,0.014920668390944879
12,352,418,0.018400829508982097
12,418,477,0.01571952847927438
12,477,521,0.012763384597752635
13,100,155,0.014778871246442138
35,100,155,0.014778871246442138
13,155,254,0.011565819296214435
35,155,254,0.011565819296214435
13,254,354,0.012563052405624761
35,254,354,0.012563052405624761
13,354,367,0.012533801034840683
35,354,367,0.012533801034840683
13,367,503,0.01290373413068791
13,503,522,0.01255900846155525
14,182,275,0.014134055104668019
61,182,275,0.014134055104668019
76,182,275,0.014134055104668019
14,275,345,0.02003900867399048
61,275,345,0.02003900867399048
14,345,440,0.015124206943141613
14,440,494,0.012792304858746056
14,494,525,0.01358731437395681
15,59,175,0.011742859087741456
15,175,229,0.013860439808176455
15,229,349,0.013447105139979845
15,349,382,0.014949976558511591
15,382,439,0.01151717413003298
15,439,527,0.0204987585864012
16,65,207,0.013495071394731738
16,207,247,0.005033802696503164
16,247,330,0.0046147139012540335
16,330,409,0.008548854447219607
16,409,484,0.011212622398179392
16,484,528,0.011452027572880026
17,94,162,0.009671200163125187
37,94,162,0.009671200163125187
17,162,255,0.010965665969306758
37,162,255,0.010965665969306758
17,255,288,0.012841045720153132
37,255,288,0.012841045720153132
17,288,360,0.011223012991061035
37,288,360,0.011223012991061035
17,360,505,0.010801453349450775
17,505,532,0.013809654514995202
18,138,217,0.014814099550386615
18,217,268,0.012550357421982648
18,268,335,0.012952725541673584
18,335,420,0.011773662083404496
18,420,486,0.010340613629767443
18,486,537,0.017200206016008777
19,86,185,0.014404382002858176
19,185,238,0.01667098183439181
19,238,302,0.016636467502376108
19,302,390,0.015581614063505554
19,390,444,0.011416662821566304
19,444,543,0.011782039029540527
20,114,189,0.01273828938542408
20,189,260,0.018146347734920656
20,260,346,0.01504188680819285
20,346,417,0.01724056385339827
20,417,454,0.01587728218415565
21,110,176,0.011737399768221031
21,176,282,0.014524452165748084
21,282,356,0.011278207461227999
21,356,413,0.014724810179909342
21,413,433,0.013735666900790105
22,72,256,0.012103089349423165
22,256,358,0.011400238438064146
22,358,411,0.010975646107235448
22,411,491,0.00963428691405346
22,491,549,0.010239868216584598
22,549,556,0.009534018823620908
23,132,202,0.012921564133580058
23,202,212,0.014062669032170202
23,212,313,0.01517295263230918
23,313,391,0.0131693608111381
23,391,435,0.01338033342409749
23,435,557,0.00801240877157528
24,118,158,0.010281157968751987
24,158,244,0.012833749098868714
24,244,350,0.017226840733186796
24,350,374,0.012341233863494547
24,374,430,0.009638801704621957
24,430,561,0.0100184810784098
25,63,251,0.012931682023179056
26,90,193,0.011736796744075193
83,90,193,0.011736796744075193
26,193,265,0.007437191732361066
26,265,290,0.007068143509614036
26,290,387,0.014040687265527103
26,387,488,0.012422534411506172
26,488,565,0.014230500049226389
27,101,284,0.011409992915174264
27,284,321,0.014539293580414454
27,321,427,0.012430340296407391
27,427,471,0.01192401897993043
27,471,533,0.013852341196917051
27,533,566,0.01693537194160998
28,269,319,0.023099247282484747
28,319,385,0.017156413183829714
29,53,187,0.01138789111296216
29,187,227,0.01398109604209038
29,227,283,0.01279555854364332
29,283,415,0.01746501991750769
30,117,198,0.010272246076752622
30,198,223,0.011580085797320734
30,223,338,0.014167835217867308
30,338,377,0.0176903654795818
31,89,154,0.009481303561658726
31,154,241,0.010752552999205101
31,241,322,0.011097098430162705
31,322,392,0.009927515919575592
31,392,453,0.009037726952663935
32,139,146,0.010062746662380639
62,139,146,0.010062746662380639
32,146,218,0.008977356653271573
62,146,218,0.008977356653271573
32,218,342,0.011672003302819391
62,218,342,0.011672003302819391
32,342,443,0.007628641860338314
32,443,461,0.007764118725911354
33,113,174,0.00901615883800554
33,174,257,0.009596156919215502
33,257,294,0.01555485222221052
33,294,366,0.014442057387166495
33,366,468,0.014765164179138318
34,141,177,0.011734988085785573
34,177,236,0.014128549008860803
34,236,325,0.014203791423002623
34,325,380,0.013212226984952015
34,380,473,0.010950349824662729
38,56,235,0.013749038251560602
38,235,379,0.015686739417161318
38,379,406,0.013185003815087575
38,406,496,0.011112328829535043
38,496,502,0.010338003574018964
39,214,246,0.015824496290487287
66,214,246,0.015824496290487287
68,214,246,0.015824496290487287
86,214,246,0.015824496290487287
39,246,340,0.0177959694044975
66,246,340,0.0177959694044975
39,340,363,0.010732808105882409
66,340,363,0.010732808105882409
39,363,501,0.010726664524517085
39,501,506,0.012565943951455147
40,277,314,0.012429307485790119
82,277,314,0.012429307485790119
40,314,336,0.015380387490974886
82,314,336,0.015380387490974886
40,336,445,0.00942015573104812
41,50,165,0.013200071367625165
78,50,165,0.013200071367625165
41,165,327,0.012290389097539815
78,165,327,0.012290389097539815
41,327,441,0.012676506598215445
41,441,465,0.012160598145522335
41,465,511,0.013303113618028472
42,215,226,0.013901671041679208
42,226,355,0.011842056018661102
42,355,399,0.008222290512260413
42,399,498,0.011554971768324911
42,498,513,0.01081536800157471
43,153,161,0.009940371929491982
43,161,300,0.00999181531708579
43,300,386,0.012482104735179035
43,386,492,0.009709285546798398
43,492,515,0.010657158553501451
45,137,231,0.013476967499046451
75,137,231,0.013476967499046451
45,231,315,0.014009278444662156
75,231,315,0.014009278444662156
45,315,364,0.013251136281315431
75,315,364,0.013251136281315431
46,87,266,0.009766315638467938
79,87,266,0.009766315638467938
46,266,388,0.008415986942035892
46,388,396,0.009427743782481906
46,396,464,0.010845172064097863
46,464,520,0.015084422478251454
48,159,178,0.009895844706517633
48,178,365,0.011584224379665435
48,365,429,0.0161490940811
48,429,483,0.013803779258163175
48,483,524,0.010517185855589731
49,52,183,0.01250368100186036
67,52,183,0.01250368100186036
49,183,337,0.014614825397114487
67,183,337,0.014614825397114487
49,337,410,0.014513286860972812
67,337,410,0.014513286860972812
49,410,442,0.010208431721067291
50,112,173,0.009750164360037165
69,112,173,0.009750164360037165
50,173,295,0.015303305357178838
69,173,295,0.015303305357178838
50,295,375,0.015876750094442168
69,295,375,0.015876750094442168
50,375,504,0.016694307959259663
50,504,531,0.013751645538597987
51,92,184,0.012798489829087626
51,184,312,0.012987235779531243
51,312,381,0.014248220815272526
51,381,476,0.014196334647874106
51,476,534,0.015089987519408633
52,116,307,0.017550850809090808
52,307,348,0.016409436277474997
52,348,449,0.011788911043670447
52,449,475,0.011050761018120851
52,475,538,0.013483415636625822
53,111,305,0.005872783760065949
54,136,199,0.015735625828640243
54,199,368,0.007495043062911844
54,368,438,0.008394158158557864
54,438,489,0.011872410212028912
55,113,539,0.010802162469073359
55,539,540,0.011199876031395654
56,172,301,0.011588021203717094
56,301,361,0.012143765999733892
56,361,423,0.00792028668137463
56,423,460,0.01202333821745739
56,460,554,0.013810313669808975
57,220,536,0.014369502506249368
57,536,541,0.020491300323496244
58,58,200,0.014649167486636612
58,200,285,0.013064944126745363
58,285,351,0.011942519864794589
58,351,485,0.015432116013233901
58,485,563,0.015279393191115166
59,224,249,0.006673255825715497
59,249,303,0.0077459708532329865
59,303,353,0.017100407984135087
59,353,459,0.02124680297758109
59,459,564,0.015322589131470382
63,105,150,0.01375795573584574
63,150,262,0.014779217878403717
63,262,332,0.01335171581765373
63,332,412,0.01178963441400786
64,209,253,0.015025522177108635
64,253,326,0.013255001688510168
65,115,264,0.009830330361876524
65,264,310,0.010917022956694469
65,310,369,0.011753262171471468
65,369,421,0.014943325501939173
68,246,343,0.015843942139738176
68,343,372,0.012488510046022895
68,372,448,0.008914697798818809
70,88,179,0.01590892150157346
70,179,291,0.014755629939615472
70,291,403,0.016089092414509117
70,403,455,0.016822744461681992
71,95,228,0.0124909469375863
84,95,228,0.0124909469375863
71,228,272,0.011187332581981213
71,272,347,0.011808753272017573
71,347,466,0.013911566334167763
72,73,234,0.016971082882151278
72,234,274,0.014825147430040545
72,274,359,0.01510397284655874
72,359,479,0.012943688334361252
73,64,258,0.014876797349698618
73,258,279,0.01806774950931284
73,279,414,0.017901727669136374
73,414,487,0.015457485228843043
